类型,station_id,经度,纬度
关闭,101437000_30415,113.203287,23.430155
关闭,101437000_31731,113.609093,23.127845
关闭,101437000_32573,113.245258,23.173985
关闭,625911998_386911,113.285514,22.967911
关闭,101437000_37825,113.180239,23.067941
关闭,101437000_11611,113.329801,23.116196
关闭,MA5DT8Q54_4401060573,113.339506,23.17104
关闭,359950395_GZ01ZJZ0002,113.290036,23.207902
关闭,101437000_11,113.34983,22.973159
关闭,321895837_1310,113.339677,22.937022
关闭,914401153_JT0167,113.308533,22.988542
新增,NEW,113.665,22.635
新增,NEW,113.39500000000001,23.345
新增,NEW,113.45500000000001,23.505
新增,NEW,113.64500000000001,22.665
新增,NEW,113.00500000000001,23.445
新增,NEW,113.135,23.305
新增,NEW,113.50500000000001,23.275
新增,NEW,113.58500000000001,23.165
新增,NEW,113.715,23.375
新增,NEW,113.685,23.325
新增,NEW,113.265,23.305
新增,NEW,113.385,23.275
新增,NEW,113.555,22.885
新增,NEW,113.625,23.175
新增,NEW,113.435,23.465
新增,NEW,113.795,23.135
新增,NEW,113.825,23.815
新增,NEW,113.595,22.705
新增,NEW,114.00500000000001,23.855
新增,NEW,113.105,23.465
新增,NEW,113.45500000000001,23.685
新增,NEW,113.53500000000001,23.405
新增,NEW,113.22500000000001,23.315
新增,NEW,113.465,23.545
新增,NEW,113.625,23.325
新增,NEW,113.67500000000001,22.635
新增,NEW,113.845,23.425
新增,NEW,113.92500000000001,23.495
新增,NEW,113.665,23.365
新增,NEW,113.295,23.385
新增,NEW,113.405,23.715
新增,NEW,113.745,23.395
新增,NEW,113.305,22.865
新增,NEW,113.775,23.215
新增,NEW,113.25500000000001,23.595
新增,NEW,113.055,23.445
新增,NEW,113.625,22.635
新增,NEW,113.53500000000001,23.175
新增,NEW,113.435,23.245
新增,NEW,113.44500000000001,23.015
新增,NEW,113.17500000000001,23.315
新增,NEW,113.465,23.575
新增,NEW,113.95500000000001,23.845
新增,NEW,113.745,23.235
新增,NEW,112.985,23.445
新增,NEW,113.265,23.285
新增,NEW,113.45500000000001,23.235
新增,NEW,113.25500000000001,23.315
新增,NEW,113.765,23.255
新增,NEW,113.625,22.685
新增,NEW,113.45500000000001,23.655
新增,NEW,113.36500000000001,23.275
新增,NEW,113.11500000000001,23.485
新增,NEW,113.525,22.885
新增,NEW,113.20500000000001,23.315
新增,NEW,113.655,23.335
新增,NEW,113.58500000000001,22.725
新增,NEW,113.42500000000001,23.255
新增,NEW,113.825,23.415
新增,NEW,113.715,23.315
新增,NEW,113.575,23.305
新增,NEW,113.08500000000001,23.455
新增,NEW,113.67500000000001,22.625
新增,NEW,113.485,23.195
新增,NEW,113.405,23.265
新增,NEW,113.405,23.355
新增,NEW,113.745,23.205
新增,NEW,113.11500000000001,23.305
新增,NEW,113.44500000000001,23.475
新增,NEW,113.78500000000001,23.155
新增,NEW,113.86500000000001,23.425
新增,NEW,113.69500000000001,23.195
新增,NEW,113.69500000000001,23.375
新增,NEW,113.14500000000001,23.305
新增,NEW,113.545,23.395
新增,NEW,113.67500000000001,23.155
新增,NEW,113.265,23.315
新增,NEW,113.465,23.525
新增,NEW,113.56500000000001,23.225
新增,NEW,113.03500000000001,23.445
新增,NEW,113.485,23.275
新增,NEW,113.78500000000001,23.215
新增,NEW,113.47500000000001,23.215
新增,NEW,113.775,23.195
新增,NEW,113.765,23.395
新增,NEW,113.81500000000001,23.135
新增,NEW,114.025,23.855
新增,NEW,113.545,23.185
新增,NEW,113.635,22.635
新增,NEW,113.97500000000001,23.855
新增,NEW,113.465,23.585
新增,NEW,113.125,23.465
新增,NEW,113.655,23.185
新增,NEW,113.39500000000001,23.275
新增,NEW,113.375,23.275
新增,NEW,113.525,23.275
新增,NEW,113.845,23.815
新增,NEW,113.905,23.485
新增,NEW,113.515,23.415
新增,NEW,113.265,23.295
新增,NEW,113.275,23.305
新增,NEW,113.435,23.255
新增,NEW,113.735,23.385
新增,NEW,113.735,23.305
新增,NEW,113.64500000000001,23.345
新增,NEW,113.605,22.695
新增,NEW,113.56500000000001,22.885
新增,NEW,113.635,22.675
新增,NEW,113.295,23.395
新增,NEW,113.67500000000001,23.175
新增,NEW,113.245,23.315
新增,NEW,113.635,23.175
新增,NEW,113.235,23.315
新增,NEW,113.94500000000001,23.845
新增,NEW,113.735,23.215
新增,NEW,113.45500000000001,23.705
新增,NEW,112.97500000000001,23.435
新增,NEW,113.555,23.295
新增,NEW,113.575,23.175
新增,NEW,113.45500000000001,23.225
新增,NEW,113.45500000000001,23.515
新增,NEW,113.58500000000001,22.715
新增,NEW,113.44500000000001,23.495
新增,NEW,113.575,23.215
新增,NEW,113.215,23.315
新增,NEW,113.415,23.245
新增,NEW,113.545,23.195
新增,NEW,113.655,23.145
新增,NEW,113.775,23.255
新增,NEW,113.625,23.305
新增,NEW,113.015,23.445
新增,NEW,113.00500000000001,23.465
新增,NEW,113.155,23.305
新增,NEW,113.465,23.565
新增,NEW,113.525,23.405
新增,NEW,113.465,23.535
新增,NEW,113.44500000000001,23.245
新增,NEW,113.06500000000001,23.445
新增,NEW,113.50500000000001,23.185
新增,NEW,113.67500000000001,23.365
新增,NEW,113.555,23.215
新增,NEW,113.775,23.205
新增,NEW,113.75500000000001,23.245
新增,NEW,113.595,23.205
新增,NEW,113.81500000000001,23.415
新增,NEW,113.545,23.285
新增,NEW,113.47500000000001,23.265
新增,NEW,113.64500000000001,23.355
新增,NEW,113.78500000000001,23.145
新增,NEW,113.64500000000001,22.655
新增,NEW,113.935,23.495
新增,NEW,113.655,23.365
新增,NEW,113.595,23.165
新增,NEW,113.495,23.275
新增,NEW,113.735,23.195
新增,NEW,113.495,23.195
新增,NEW,113.44500000000001,23.235
新增,NEW,113.665,23.175
新增,NEW,113.11500000000001,23.465
新增,NEW,113.56500000000001,23.305
新增,NEW,113.165,23.315
新增,NEW,113.61500000000001,22.695
新增,NEW,113.575,23.225
新增,NEW,113.715,23.195
新增,NEW,113.69500000000001,23.185
新增,NEW,113.44500000000001,23.695
新增,NEW,113.095,23.455
新增,NEW,113.405,23.275
新增,NEW,113.44500000000001,23.485
新增,NEW,113.465,23.225
新增,NEW,113.70500000000001,23.195
新增,NEW,113.595,23.145
新增,NEW,113.465,23.555
新增,NEW,113.75500000000001,23.395
新增,NEW,113.185,23.315
新增,NEW,113.72500000000001,23.375
新增,NEW,113.78500000000001,23.255
新增,NEW,113.69500000000001,23.325
新增,NEW,113.855,23.425
新增,NEW,113.685,23.175
新增,NEW,113.685,22.635
新增,NEW,113.665,23.335
新增,NEW,113.545,22.885
新增,NEW,113.56500000000001,23.295
新增,NEW,113.025,23.445
新增,NEW,113.745,23.225
新增,NEW,113.70500000000001,23.375
新增,NEW,112.995,23.445
新增,NEW,113.915,23.485
新增,NEW,113.53500000000001,22.885
新增,NEW,113.685,23.195
新增,NEW,113.415,23.265
新增,NEW,113.635,23.145
新增,NEW,113.525,23.185
新增,NEW,113.53500000000001,23.285
新增,NEW,113.045,23.445
新增,NEW,113.605,23.325
新增,NEW,113.64500000000001,23.185
新增,NEW,113.665,23.185
新增,NEW,113.735,23.295
新增,NEW,113.58500000000001,23.305
新增,NEW,113.765,23.265
新增,NEW,113.64500000000001,23.165
新增,NEW,113.45500000000001,23.675
新增,NEW,113.655,23.285
新增,NEW,113.70500000000001,23.315
新增,NEW,113.61500000000001,23.295
新增,NEW,113.125,23.475
新增,NEW,113.72500000000001,23.195
新增,NEW,113.53500000000001,23.185
新增,NEW,113.75500000000001,23.205
新增,NEW,113.515,23.275
新增,NEW,113.47500000000001,23.225
新增,NEW,113.465,23.265
新增,NEW,113.685,23.365
新增,NEW,113.075,23.445
新增,NEW,113.525,23.175
新增,NEW,113.405,23.345
新增,NEW,113.45500000000001,23.255
新增,NEW,113.64500000000001,23.145
新增,NEW,113.83500000000001,23.415
新增,NEW,113.605,23.145
新增,NEW,113.47500000000001,23.205
新增,NEW,113.44500000000001,23.255
新增,NEW,113.105,23.305
新增,NEW,113.405,23.235
新增,NEW,113.61500000000001,23.165
新增,NEW,113.70500000000001,23.185
新增,NEW,113.45500000000001,23.665
新增,NEW,113.985,23.855
新增,NEW,113.275,23.315
新增,NEW,113.965,23.855
新增,NEW,113.765,23.205
新增,NEW,113.555,23.185
新增,NEW,113.22500000000001,23.325
新增,NEW,113.72500000000001,23.305
新增,NEW,113.415,23.255
新增,NEW,113.545,23.205
新增,NEW,113.56500000000001,23.175
新增,NEW,113.555,23.205
新增,NEW,113.64500000000001,23.175
新增,NEW,113.515,23.185
新增,NEW,113.775,23.245
新增,NEW,113.72500000000001,23.205
新增,NEW,113.45500000000001,23.205
新增,NEW,114.015,23.855
新增,NEW,113.625,23.285
新增,NEW,113.415,23.225
新增,NEW,113.58500000000001,23.145
新增,NEW,113.745,23.285
新增,NEW,113.625,23.315
新增,NEW,113.485,23.205
新增,NEW,113.67500000000001,23.195
新增,NEW,113.75500000000001,23.275
新增,NEW,113.605,23.315
新增,NEW,113.635,23.285
